8,-0.0653,-0.0566,1.3737,0.4032,Quebro
13,0.0109,0.0011,2.1495,0.6969,Quebro
11,-0.2298,-0.2961,0.331,0.1824,Quebro
20,0.1227,0.1055,1.1434,0.1655,Quebro
19,0.0115,-0.0032,1.2602,0.6038,Quebro
3,0.0643,0.0156,1.0077,0.3978,Quebro
10,-0.1353,-0.1433,1.4196,0.4347,Quebro
16,0.3703,0.1098,1.9941,0.3828,Quebro
9,0.0724,-0.0076,1.3723,0.3361,Quebro
21,-0.2843,-0.2703,1.2722,0.5128,Quebro
14,-0.2777,-0.2316,1.1918,0.6601,Quebro
5,-0.1002,-0.0917,1.5644,0.6683,Quebro
18,0.0451,0.0263,1.6756,0.9494,Quebro
12,0.0713,0.0205,1.3124,0.2497,Quebro
1,-0.4485,-0.4106,1.0865,0.4526,Quebro
15,0.1454,0.05,1.8762,0.2723,Quebro
17,-0.0757,-0.0821,1.5077,0.4215,Quebro
2,-0.5633,-0.3114,1.5134,0.1642,Quebro
6,-0.1421,-0.0651,0.7066,0.2794,Quebro
4,-0.0721,-0.093,1.4544,0.2589,Quebro
7,-0.0351,-0.0147,1.5046,0.708,Quebro
